Time stamp,Con piezaJ1,Con piezaJ2,PosicionJ1,PosicionJ2,VelocidadJ1,VelocidadJ2,Distancia
0:0:0.00,False,False,(2.066342; 1.004975),(3.305501; 1.6797),0,0,1.41094673792021
0:0:0.49,False,False,(2.066342; 1.004975),(3.305501; 1.6797),0,0,1.41094673792021
0:0:1.00,False,False,(2.066342; 1.004975),(3.305501; 1.6797),0,0,1.41094673792021
0:0:1.49,False,False,(2.066342; 1.004975),(3.305501; 1.6797),0,0,1.41094673792021
0:0:1.99,False,False,(2.066342; 1.004975),(3.305501; 1.6797),0,0,1.41094673792021
0:0:2.51,False,False,(2.02218; 0.9833171),(3.305501; 1.6797),0.4918659,0,1.46009008209275
0:0:3.01,False,False,(1.327; 0.8562665),(3.305501; 1.6797),0.5572224,0,2.14301422222036
0:0:3.51,False,False,(1.024487; 1.498625),(3.305501; 1.6797),0.9397322,0,2.28819060637263
0:0:4.01,False,False,(1.658609; 1.811118),(3.305501; 1.6797),0.9015258,0,1.65212736820153
0:0:4.51,False,False,(2.385896; 1.852553),(3.305501; 1.6797),0.8191714,0,0.93570985988022
0:0:4.99,False,False,(3.14473; 2.037918),(3.305501; 1.6797),1.379043,0,0.392641403130889
0:0:5.51,False,False,(3.876024; 2.042008),(3.305501; 1.6797),1.540433,0,0.675842571088663
0:0:5.99,False,False,(4.636599; 1.995861),(3.305501; 1.6797),0.9162879,0,1.36812947208955
0:0:6.50,False,False,(5.320817; 1.669738),(3.305501; 1.6797),1.811864,0,2.01534063040453
0:0:7.01,False,False,(5.430409; 1.032012),(3.305501; 1.6797),1.107089,0,2.22142593963501
0:0:7.50,False,False,(4.76125; 0.9655499),(3.305501; 1.6797),1.336179,0,1.62148480422126
0:0:8.00,False,False,(4.117228; 1.343412),(3.305501; 1.6797),1.716227,0,0.878629493784297
0:0:8.51,False,False,(3.467317; 1.455885),(3.305501; 1.6797),0.870593,0,0.276183622009484
0:0:9.01,False,False,(2.80164; 1.004666),(3.305501; 1.6797),1.283131,0,0.842346498361673
0:0:9.50,False,False,(2.052782; 0.9870546),(3.305501; 1.6797),1.31507,0,1.43145553659222
0:0:10.00,False,False,(1.457828; 1.427436),(3.305501; 1.6797),1.780321,0,1.86481508775863
0:0:10.49,False,False,(0.9684134; 1.95032),(3.305501; 1.6797),1.357869,0,2.35270399062721
0:0:11.01,False,False,(0.4076045; 1.649248),(3.305501; 1.6797),1.047484,0,2.89805700283412
0:0:11.51,False,False,(0.7509191; 1.06061),(3.305501; 1.6797),0.8787686,0,2.6285288363372
0:0:12.00,False,False,(1.517347; 0.9642453),(3.305501; 1.6797),1.374477,0,1.92597257096194
0:0:12.51,False,False,(2.244041; 0.9111283),(3.305501; 1.6797),1.353392,0,1.31049611382559
0:0:12.99,False,False,(2.948773; 0.7450862),(3.305501; 1.6797),0.8229709,0,1.00037899993477
0:0:13.50,False,False,(3.721396; 0.5245755),(3.305501; 1.6797),1.866538,0,1.2277138234031
0:0:14.01,False,False,(4.434185; 0.4053884),(3.305501; 1.6797),1.248318,0,1.70229172280725
0:0:14.50,False,False,(5.193312; 0.4714329),(3.305501; 1.6797),1.374874,0,2.2413694744157
0:0:15.01,False,False,(5.572227; 1.084521),(3.305501; 1.6797),1.824614,0,2.3435619319812
0:0:15.51,False,False,(5.177768; 1.606645),(3.305501; 1.6797),1.293278,0,1.87369105703746
0:0:16.00,False,False,(4.564178; 1.231908),(3.305501; 1.6797),1.150543,0,1.33595873487992
0:0:16.51,False,False,(3.981621; 0.8528903),(3.305501; 1.6797),1.657105,0,1.06805988966031
0:0:17.01,False,False,(3.227515; 0.7647638),(3.305501; 1.6797),0.8669046,0,0.918253937773189
0:0:17.50,False,False,(2.47611; 0.9563236),(3.305501; 1.6797),1.264748,0,1.10052923455046
0:0:18.00,False,False,(1.982932; 1.47916),(3.305501; 1.6797),1.776995,0,1.33768726645234
0:0:18.51,False,False,(1.768516; 1.854292),(3.305501; 1.6797),0,0,1.54687008207375
0:0:19.01,False,False,(1.768516; 1.854292),(3.305501; 1.6797),0,0,1.54687008207375
0:0:19.51,False,False,(1.99811; 1.795196),(3.305501; 1.6797),1.279488,0,1.31248294601386
0:0:20.01,False,False,(2.649203; 1.44578),(3.305501; 1.6797),0.8743617,0,0.696740222661482
0:0:20.51,False,False,(3.309058; 1.173738),(3.305501; 1.6797),0.9051629,0,0.505974869562591
0:0:21.00,False,False,(3.60749; 1.089616),(3.305501; 1.6797),0,0,0.662869977416838
0:0:24.99,False,False,(1.672101; 2.196),(3.305501; 1.6797),0,0,1.71305683362803
0:0:25.49,False,False,(1.672101; 2.196),(3.305501; 1.6797),0,0,1.71305683362803
0:0:26.00,False,False,(1.672101; 2.196),(3.305501; 1.6797),0,0,1.71305683362803
0:0:28.51,False,False,(2.22675; 1.00789),(3.305501; 1.6797),0,0,1.2708395281446
0:0:28.99,False,False,(2.22675; 1.00789),(3.305501; 1.6797),0,0,1.2708395281446
0:0:29.49,False,False,(2.830036; 0.888),(3.305501; 1.6797),1.249526,0,0.923502089933094
0:0:32.01,False,False,(4.2383; 1.475257),(3.305501; 1.6797),1.233604,0,0.954940230584411
0:0:32.50,False,False,(4.945467; 1.653391),(3.305501; 1.6797),1.230183,0,1.64017608160812
0:0:33.01,False,False,(5.209135; 1.08541),(3.305501; 1.6797),1.012918,0,1.99424222563587
0:0:33.50,False,False,(4.562433; 0.8217978),(3.305501; 1.6797),1.642874,0,1.52179954019107
0:0:34.00,False,False,(3.86878; 1.070579),(3.305501; 1.6797),1.63337,0,0.829645484303106
0:0:34.51,False,False,(3.183885; 0.9601076),(3.305501; 1.6797),1.097119,0,0.729797198197198
0:0:35.00,False,False,(2.394129; 0.8016467),(3.305501; 1.6797),1.351274,0,1.26553464927241
0:0:35.51,False,False,(1.732007; 0.9818861),(3.305501; 1.6797),1.461758,0,1.7212873734147
0:0:36.00,False,False,(1.639783; 1.68804),(3.305501; 1.6797),1.180532,0,1.66573919725726
0:0:38.50,False,False,(3.429544; 0.501771),(3.305501; 1.6797),1.67308,0,1.184442340314
0:0:38.99,False,False,(4.152908; 0.6538069),(3.305501; 1.6797),1.519141,0,1.33062183448583
0:0:39.51,False,False,(4.276129; 1.306431),(3.305501; 1.6797),1.204918,0,1.03992643958784
0:0:39.99,False,False,(3.763345; 1.087379),(3.305501; 1.6797),1.378313,0,0.748642814783306
0:0:40.51,False,False,(3.33734; 0.5854614),(3.305501; 1.6797),1.095461,0,1.09470186574441
0:0:41.01,False,False,(2.605358; 0.7987466),(3.305501; 1.6797),1.189514,0,1.12529100705092
