Time stamp,Con piezaJ1,Con piezaJ2,PosicionJ1,PosicionJ2,VelocidadJ1,VelocidadJ2,Distancia
0:0:0.01,False,False,(15.26126; -0.5003765),(16.755; 0.23),0,0,1.66274233917782
0:0:0.51,False,False,(15.26126; -0.5003765),(16.755; 0.23),0,0,1.66274233917782
0:0:1.02,False,False,(15.40689; -0.5212922),(16.755; 0.23),1.471214,0,1.54332478978393
0:0:1.52,False,False,(16.12301; -0.6736405),(16.755; 0.23),1.367452,0,1.10271286611782
0:0:2.01,False,False,(16.88351; -0.7734625),(16.755; 0.23),1.372848,0,1.01165745783782
0:0:2.52,False,False,(17.5526; -0.521663),(16.755; 0.23),1.399507,0,1.09597427260793
0:0:3.00,False,False,(18.024; 0.08058167),(16.755; 0.23),1.472784,0,1.27776734990866
0:0:3.50,False,False,(18.17704; 0.3542268),(16.755; 0.23),0,0,1.42745103564404
0:0:4.02,False,False,(18.17704; 0.3542268),(16.755; 0.23),0,0,1.42745103564404
0:0:4.51,False,False,(18.06369; -0.2478187),(16.755; 0.23),1.363029,0,1.393193427686
0:0:5.02,False,False,(17.373; -0.5167227),(16.755; 0.23),1.91055,0,0.969289009135515
0:0:5.52,False,False,(16.69539; -0.6163919),(16.755; 0.23),1.337197,0,0.848488730964552
0:0:6.02,False,False,(15.99443; -0.8592391),(16.755; 0.23),0.8681104,0,1.32849946837498
0:0:6.52,False,False,(15.27487; -0.6350627),(16.755; 0.23),0.8953516,0,1.71438668847063
0:0:7.01,False,False,(14.91671; 0.0169127),(16.755; 0.23),1.238537,0,1.85060007165621
0:0:7.52,False,False,(15.14931; 0.5140879),(16.755; 0.23),0,0,1.63062852281037
0:0:8.02,False,False,(15.39058; 0.2141116),(16.755; 0.23),0.4368873,0,1.36451721129388
0:0:8.51,False,False,(15.51726; -0.3774118),(16.755; 0.23),1.566478,0,1.37875313207506
0:0:9.02,False,False,(16.21433; -0.4256775),(16.755; 0.23),1.34261,0,0.849844381149149
0:0:9.50,False,False,(16.94176; -0.1584904),(16.755; 0.23),1.456109,0,0.431050822597483
0:0:10.01,False,False,(17.51326; 0.3371453),(16.755; 0.23),1.465301,0,0.765791456473453
0:0:10.50,False,False,(18.05222; 0.02146316),(16.755; 0.23),1.38278,0,1.31386951531684
0:0:11.00,False,False,(18.03986; -0.2049494),(16.755; 0.23),1.922581,0,1.35648179755824
0:0:11.52,False,False,(17.50178; -0.5707409),(16.755; 0.23),1.080315,0,1.09492396702146
0:0:12.02,False,False,(16.77574; -0.537895),(16.755; 0.23),0.5936635,0,0.768174873811852
0:0:16.52,False,False,(15.21567; 0.1403522),(16.755; 0.23),0,0,1.54193682908152
0:0:17.00,False,False,(15.54408; -0.4059718),(16.755; 0.23),1.061926,0,1.36777011763959
0:0:17.50,False,False,(16.20827; -0.7609942),(16.755; 0.23),1.785344,0,1.13180807972502
0:0:18.02,False,False,(16.9257; -0.6476812),(16.755; 0.23),1.536871,0,0.894126893109193
0:0:18.51,False,False,(17.39344; -0.05847621),(16.755; 0.23),0.891645,0,0.700589433684402
0:0:19.01,False,False,(18.02414; 0.2448168),(16.755; 0.23),1.375943,0,1.26922482357261
0:0:19.52,False,False,(18.12161; -0.1078212),(16.755; 0.23),1.026601,0,1.40774277001047
0:0:20.02,False,False,(17.7793; -0.61643),(16.755; 0.23),1.165083,0,1.32877439076129
0:0:20.51,False,False,(16.98501; -0.5493371),(16.755; 0.23),1.234316,0,0.812570904507684
0:0:21.02,False,False,(16.28186; -0.7264421),(16.755; 0.23),1.909506,0,1.06707162705621
0:0:21.51,False,False,(15.57653; -0.4929378),(16.755; 0.23),1.102306,0,1.38254550641633
0:0:22.00,False,False,(15.43322; 0.207231),(16.755; 0.23),1.313676,0,1.32197725283647
0:0:22.52,False,False,(15.25554; 0.6529477),(16.755; 0.23),0,0,1.55796935879262
0:0:23.00,False,False,(15.25554; 0.6529477),(16.755; 0.23),0,0,1.55796935879262
0:0:23.52,False,False,(15.31842; 0.1029584),(16.755; 0.23),1.078233,0,1.44218422168069
0:0:24.02,False,False,(15.92164; -0.3483737),(16.755; 0.23),1.155305,0,1.01439938507931
0:0:24.50,False,False,(16.26872; -0.3892384),(16.755; 0.23),0,0,0.787353055910326
0:0:25.02,False,False,(16.26872; -0.3892384),(16.755; 0.23),0,0,0.787353055910326
0:0:25.52,False,False,(16.26872; -0.3892384),(16.755; 0.23),0,0,0.787353055910326
0:0:26.00,False,False,(16.26872; -0.3892384),(16.755; 0.23),0,0,0.787353055910326
0:0:26.51,False,False,(16.26872; -0.3892384),(16.755; 0.23),0,0,0.787353055910326
